place,frequency,lat,lon
ベーリング,14,60.0000001,-175
サモ,8,-13.7693895,-172.12005
サモア,6,-13.7693895,-172.12005
ニヤ,45,-19.0536414,-169.861341
ラロトンガ,1,-21.24755285,-159.776109042845
ホノルル,2,21.304547,-157.855676
モロカイ,1,21.1344895,-157.007153885139
マウイ,5,20.8029568,-156.310683316022
ハワイ,5,19.5938015,-155.428370097169
ヒロ,2,19.7073734,-155.08158
ハウル,1,-17.4982178,-149.912471
タヒチ,4,-17.68734395,-149.445168114237
ジュノー,1,58.3019496,-134.419734
バンクーバー,1,49.2608724,-123.113952
タコマ,3,47.2455013,-122.438329
サンフランシスコ,20,37.7790262,-122.419906
シアトル,10,47.6038321,-122.330062
バークレー,6,37.8708393,-122.272863
クレタ,1,42.94152615,-122.098820284268
オレゴン,2,43.9792797,-120.737257
リノ,2,39.5261206,-119.8126581
カリフォルニア,11,36.7014631,-118.755997
バーバンク,1,34.1812089,-118.307201
アリゾナ,5,34.395342,-111.763275
ユタ,42,39.4225192,-111.714358
モンタナ,1,47.3752671,-109.638757
マリヤナ,1,35.5057607,-108.73108
カナダ,12,61.0666922,-107.991707
ワイオミング,1,43.1700264,-107.568534
ウェストミンスター,9,39.8366528,-105.0372046
ウエストミンスター,1,39.8366528,-105.0372046
テカテ,1,21.8078778,-102.2672863
トンキン,1,51.2095456,-102.2643895
メキシコ,31,23.6585116,-102.0077097
ルイス,1,22.5000001,-100.4949145
アメリカ,1513,39.7837304,-100.445882
ダラス,2,32.7762719,-96.7968559
ミネソタ,2,45.9896587,-94.6113288
アイオワ,2,41.9216734,-93.3122705
ダコタ,3,44.666655,-93.044911
メンフィス,1,35.1460249,-90.0517638
ミシシッピー,2,32.9715285,-89.7348497
ウイスコンシン,10,44.4308975,-89.6884637
ウィスコンシン,1,44.4308975,-89.6884637
ソレント,2,38.998935,-89.5736984
コリコ,3,14.8113373,-89.5352022473798
イリノイ,1,40.0796606,-89.4337288
ユカタン,1,20.6845957,-88.8755669
メコン,1,43.2219088,-87.9822969
ハドソン,21,59.37286535,-87.6408545328059
シカゴ,32,41.8755616,-87.6244212
ドラ,2,33.7286935,-87.0904188
アラバマ,3,33.2588817,-86.8295337
イオニア,1,42.9469688,-85.0713945
カイラーサ,2,14.8148009,-84.8796549
ミシガン,9,43.6211955,-84.6824346
カルタゴ,8,9.81589045,-83.6943028875124
オハイオ,2,40.2253569,-82.6881395
ハバナ,6,23.135305,-82.3589631
ベーメン,1,28.924655,-81.916787
