filename,title_jp,author,place_name,frequency,lat,lon
suwisu_nikki,スウィス日記,辻村伊助,アーヘン,1,50.776351,6.083862
suwisu_nikki,スウィス日記,辻村伊助,アーレ,17,-16,-72.25
ninkyo_nitoryu,任侠二刀流,国枝史郎,アーレ,1,-16,-72.25
04chabanashi1918,茶話,大正七（一九一八）年,アイオワ,1,41.9216734,-93.3122705
05uma,十二支考,馬に関する民俗と伝説,アイオワ,1,41.9216734,-93.3122705
denmaruku_kokuno_hanashi,デンマルク国の話,信仰と樹木とをもって国を救いし話,アイスランド,1,64.9841821,-18.1059013
harusamu,春寒,寺田寅彦,アイスランド,1,64.9841821,-18.1059013
faraday_no_den,ファラデーの伝,電気学の泰斗,アイスランド,1,64.9841821,-18.1059013
04hebi,十二支考,蛇に関する民俗と伝説,アイスランド,2,64.9841821,-18.1059013
03tawara_toda,十二支考,田原藤太竜宮入りの話,アイスランド,1,64.9841821,-18.1059013
02hoso_yawa,法窓夜話,穂積陳重,アイスランド,2,64.9841821,-18.1059013
shin'yu_taikan,深憂大患,竹越三叉,アイルランド,2,52.865196,-7.9794599
obeikakkoku_seikyonikki,欧米各国　政教日記,井上円了,アイルランド,7,52.865196,-7.9794599
04shoraino_nihon,将来の日本,徳富蘇峰,アイルランド,3,52.865196,-7.9794599
02hyotono_gyofuni_tsuite,氷島の漁夫,「氷島の漁夫」について,アイルランド,1,52.865196,-7.9794599
01tora,十二支考,虎に関する史話と伝説民俗,アイルランド,1,52.865196,-7.9794599
katojidai,過渡時代,岸田國士,アイルランド,1,52.865196,-7.9794599
aiwasaseru_sube,対話させる術,岸田國士,アイルランド,1,52.865196,-7.9794599
meishinto_shukyo,迷信と宗教,井上円了,アイルランド,1,52.865196,-7.9794599
hanashino_tane,話の種,寺田寅彦,アイルランド,1,52.865196,-7.9794599
09inu,十二支考,犬に関する伝説,アイルランド,1,52.865196,-7.9794599
faraday_no_den,ファラデーの伝,電気学の泰斗,アイルランド,3,52.865196,-7.9794599
04hebi,十二支考,蛇に関する民俗と伝説,アイルランド,6,52.865196,-7.9794599
03tawara_toda,十二支考,田原藤太竜宮入りの話,アイルランド,1,52.865196,-7.9794599
moso,妄想,森鴎外,アイルランド,1,52.865196,-7.9794599
futatsuno_mijikaihanashi,二つの短い話,宮本百合子訳,アイルランド,8,52.865196,-7.9794599
02usagi,十二支考,兎に関する民俗と伝説,アイルランド,1,52.865196,-7.9794599
07chabanashi1925,茶話,大正十四（一九二五）年,アイルランド,1,52.865196,-7.9794599
02hoso_yawa,法窓夜話,穂積陳重,アイルランド,4,52.865196,-7.9794599
05uma,十二支考,馬に関する民俗と伝説,アイルランド,2,52.865196,-7.9794599
seikonichiroku,西航日録,井上円了,アイルランド,36,52.865196,-7.9794599
abinikki_kara,旅日記から（明治四十二年）,寺田寅彦,アジア,1,2.91583,31.026949
rekishijoyori,歴史上より觀たる南支那の開發,桑原隲藏,アジア,1,2.91583,31.026949
obeikakkoku_seikyonikki,欧米各国　政教日記,井上円了,アジア,4,2.91583,31.026949
oano_heiwao_ronzu,東亜の平和を論ず,大隈重信,アジア,1,2.91583,31.026949
shin_shikotei,秦始皇帝,桑原隲藏,アジア,3,2.91583,31.026949
04shoraino_nihon,将来の日本,徳富蘇峰,アジア,8,2.91583,31.026949
nankyokuno_kaiji,南極の怪事,押川春浪,アジア,2,2.91583,31.026949
roshiayo_nanjiwa_tobu,露西亜よ汝は飛ぶ,百田宗治,アジア,1,2.91583,31.026949
01tora,十二支考,虎に関する史話と伝説民俗,アジア,4,2.91583,31.026949
shinano_kangan,支那の宦官,桑原隲藏,アジア,1,2.91583,31.026949
chibetto_ryokoki,チベット旅行記,河口慧海,アジア,1,2.91583,31.026949
jinruino_seizon_kyoso,人類の生存競争,丘浅次郎,アジア,1,2.91583,31.026949
daishino_nitto,大師の入唐,桑原隲蔵,アジア,6,2.91583,31.026949
oyojinno_hatsumei,東洋人の發明,桑原隲藏,アジア,3,2.91583,31.026949
meishinto_shukyo,迷信と宗教,井上円了,アジア,1,2.91583,31.026949
oyoshijoyori_mitaru,東洋史上より觀たる明治時代の發展,桑原隲藏,アジア,17,2.91583,31.026949
shina_waidan,支那猥談,桑原隲藏,アジア,19,2.91583,31.026949
07saru,十二支考,猴に関する伝説,アジア,4,2.91583,31.026949
kamino_rekishi,紙の歴史,桑原隲藏,アジア,2,2.91583,31.026949
seifukuno_jijitsu,征服の事実,大杉栄,アジア,1,2.91583,31.026949
04hebi,十二支考,蛇に関する民俗と伝説,アジア,1,2.91583,31.026949
dobutsuno_shiyu_zaisan,動物の私有財産,丘浅次郎,アジア,1,2.91583,31.026949
chawanno_yu,茶わんの湯,寺田寅彦,アジア,1,2.91583,31.026949
kyoikuto_meishin,教育と迷信,丘浅次郎,アジア,1,2.91583,31.026949
zokuhoshiko,俗法師考,喜田貞吉,アジア,1,2.91583,31.026949
03tawara_toda,十二支考,田原藤太竜宮入りの話,アジア,6,2.91583,31.026949
yasurikuzu,鑢屑,寺田寅彦,アジア,1,2.91583,31.026949
nihon_seishinshi_kenkyu,日本精神史研究,和辻哲郎,アジア,4,2.91583,31.026949
shinshitsuno_nantoto_nanpono_kaihatsu,晉室の南渡と南方の開發,桑原隲蔵,アジア,1,2.91583,31.026949
futatabi_bishamonni_tsuite,再び毘沙門に就て,南方熊楠,アジア,1,2.91583,31.026949
05uma,十二支考,馬に関する民俗と伝説,アジア,8,2.91583,31.026949
seikonichiroku,西航日録,井上円了,アジア,2,2.91583,31.026949
04shoraino_nihon,将来の日本,徳富蘇峰,アゾフ,1,47.1139219,39.4259657
chibetto_ryokoki,チベット旅行記,河口慧海,アッサム,2,26.4073841,93.2551303
10inoshishi,十二支考,猪に関する民俗と伝説,アテーネ,2,37.9839412,23.7283052
hikaku_shinwagaku,比較神話学,高木敏雄,アテーネ,4,37.9839412,23.7283052
10inoshishi,十二支考,猪に関する民俗と伝説,アテナイ,1,37.9839412,23.7283052
sekaino_henkakuto_geijutsu,世界の変革と芸術,和辻哲郎,アテナイ,1,37.9839412,23.7283052
obeikakkoku_seikyonikki,欧米各国　政教日記,井上円了,アテネ,1,37.9839412,23.7283052
08tori,十二支考,鶏に関する伝説,アテネ,1,37.9839412,23.7283052
04shoraino_nihon,将来の日本,徳富蘇峰,アテネ,3,37.9839412,23.7283052
guzosaiko_jogen,『偶像再興』序言,和辻哲郎,アテネ,4,37.9839412,23.7283052
02hoso_yawa,法窓夜話,穂積陳重,アテネ,19,37.9839412,23.7283052
05_kaitei_gunkan,海島冐檢奇譚　海底軍艦,押川春浪,アデン,4,12.833333,44.916667
abinikki_kara,旅日記から（明治四十二年）,寺田寅彦,アデン,3,12.833333,44.916667
04chabanashi1918,茶話,大正七（一九一八）年,アデン,3,12.833333,44.916667
pariyori,巴里より,與謝野寛、與謝野晶子,アデン,1,12.833333,44.916667
seikonichiroku,西航日録,井上円了,アデン,4,12.833333,44.916667
04shoraino_nihon,将来の日本,徳富蘇峰,アドリア,1,41.4628841,-7.8626442
seikonichiroku,西航日録,井上円了,アバディーン,2,57.1482429,-2.0928095
kokusairenmeitowa_donna,国際聯盟とは如何なものか,新渡戸稲造,アフガニスタン,2,33.7680065,66.2385139
