作品ID,作品名,first_published,main_published,main_based_on,文字遣い種別,図書カードURL,人物ID,姓,名,姓読み,名読み,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,テキストファイルURL,XHTML/HTMLファイルURL,Filename
42134,貝殻追放,1918,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42134.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42134_ruby_17086.zip,https://www.aozora.gr.jp/cards/000800/files/42134_17133.html,002shinbun_kisha
42135,貝殻追放,1917,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42135.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42135_ruby_17087.zip,https://www.aozora.gr.jp/cards/000800/files/42135_17134.html,003bunmei
42136,貝殻追放,1917,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42136.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42136_ruby_17088.zip,https://www.aozora.gr.jp/cards/000800/files/42136_17135.html,004maboroshino_ema
42137,貝殻追放,1918,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42137.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42137_txt_17089.zip,https://www.aozora.gr.jp/cards/000800/files/42137_17136.html,005nagai_kafu
42138,貝殻追放,1918,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42138.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42138_ruby_17568.zip,https://www.aozora.gr.jp/cards/000800/files/42138_17581.html,006yachiyo_shu
42139,貝殻追放,1918,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42139.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42139_ruby_17569.zip,https://www.aozora.gr.jp/cards/000800/files/42139_17582.html,007gushano_hanaiki
42140,貝殻追放,1918,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42140.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42140_ruby_17570.zip,https://www.aozora.gr.jp/cards/000800/files/42140_17583.html,008sono_haruno_koro
48214,海島冒険奇譚　海底軍艦,1900,1975,1900,旧字旧仮名,https://www.aozora.gr.jp/cards/001325/card48214.html,1325,上村,経吉,うえむら,つねきち,Uemura,Tsunekichi,著者,1868-04-28,1922-11-21,https://www.aozora.gr.jp/cards/001325/files/48214_txt_36108.zip,https://www.aozora.gr.jp/cards/001325/files/48214_36109.html,01_jo_kaitei_gunkan
42142,貝殻追放,1917,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42142.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42142_ruby_17572.zip,https://www.aozora.gr.jp/cards/000800/files/42142_17585.html,010kaijo_nikki
42143,貝殻追放,1918,1940,,旧字旧仮名,https://www.aozora.gr.jp/cards/000800/card42143.html,800,水上,滝太郎,みなかみ,たきたろう,Minakami,Takitaro,著者,1887-12-06,1940-03-23,https://www.aozora.gr.jp/cards/000800/files/42143_ruby_17610.zip,https://www.aozora.gr.jp/cards/000800/files/42143_17676.html,011kosho_bidan
