place,frequency,lat,lon
日本,12703,36.5748441,139.2394179
中国,6163,35.000074,104.999927
東京,6043,35.6812665,139.757653
江戸,3483,33.2048328,130.2381563
京都,1880,34.9861909,135.7600629
インド,1832,22.3511148,78.6677428
フランス,1643,46.603354,1.8883335
アメリカ,1513,39.7837304,-100.445882
チベット,1494,29.6472,91.1174
大阪,1463,34.7021912,135.4955866
岸本,1390,35.3874172,133.4096623
イギリス,1348,54.7023545,-3.2765753
ヨーロッパ,1069,35.163657354.5260,15.2551
ロシア,1056,64.6863136,97.7453061
ドイツ,1017,51.1638175,10.4478313
清,984,35.40709525,95.9521157324195
パリ,941,48.8588897,2.32004102172008
鎌倉,862,35.329564,139.54442
朝鮮,809,40.3736611,127.0870417
上野,762,35.7133757,139.7766557
富士,714,35.1514949,138.6509228
大分,688,33.2326262,131.6060258
明,678,25.0860388,110.4262501
浅草,670,35.7175966,139.7975626
三田,652,35.6471142,139.7476353
九州,625,32.4821145,131.100901314453
關,579,36.4827737,115.4446073
長崎,555,32.7525953,129.8686364
奈良,545,34.6807963,135.8189494
燕,528,29.985931,103.0087944
笠,502,47.1416307,9.5531527
ロンドン,496,51.5073359,-0.12765
越後,466,34.6845909,135.7543156
呂宋,463,15.5919971,120.739674572193
蘭,449,49.564665,3.620686
伊勢,446,35.837787,136.648485
北海道,444,43.4519831,142.8197834
忍,431,48.1113387,-1.6800198
柏,425,2.9999946,43.500177
日光,420,36.7472777,139.6222388
沖縄,414,34.874682,137.887403
横浜,405,35.4656854,139.6225042
本郷,402,35.1753761,137.0134764
蒲,398,43.69411465,12.7012468526764
山陽,398,33.456111,109.963333
希臘,379,38.9953683,21.9877132
ラサ,378,64.6863136,97.7453061
神田,375,35.6937148,139.7708898
神戸,365,34.6792884,135.1782824
清水,365,34.729233,106.1177158
信州,360,38.76502,112.385805
佛,354,25.3367281,56.1727042588826
樺太,353,50.15947595,143.026441186009
箱根,348,35.189737,139.037778
豫,348,34.0000001,113.9999999
太平,343,41.9942218,121.7289458
琉球,342,34.3822058,132.5117195
宋,340,2.0069038,112.5493271
王子,337,35.7523466,139.7382749
利根,336,35.2434212,140.0779846
河野,335,35.5629786,137.9161178
秩父,334,37.5404322,121.3950498
蝦夷,326,34.2382689,116.1392666
羅馬,318,41.8933203,12.4829321
甲州,316,32.0084389,112.0854513
ローマ,315,41.8933203,12.4829321
銀座,314,35.66951555,139.7643055988
水戸,313,36.370781,140.4762395
足利,309,36.3319671,139.4562493
名古屋,308,35.1687934,136.882394
吉野,307,34.3769776,135.853556
木曾,306,35.2381061,136.2914588
岡田,303,40.7141137,140.59672507403
薩摩,302,34.4494654,135.7820509
松山,290,33.8403352,132.751077
近江,285,30.6013439,104.1143806
土佐,273,34.1198812,139.5381545
迫,270,52.1458506,17.397672
紀州,269,33.4887737,126.4987083
加賀,269,25.5903939,112.3631549
高柳,265,35.8081725,139.9988464
品川,260,35.6280038,139.7380078
谷中,260,35.721218,139.7660417
木曽,260,35.2381061,136.2914588
本所,257,37.91508,139.141635
関東,252,31.6268604,116.8782856
日本橋,252,35.68406775,139.774502916838
伊豆,250,30.3819696,111.4436927
常陸,247,36.2455,115.521
飛騨,245,36.908442,137.433758
ネパール,245,28.1083929,84.0917139
熊谷,244,36.1393423,139.389936
萩,240,36.8121719,115.1751929
駿河,239,35.4651516,117.6236073
信濃,238,45.6377,126.347
佐渡,238,37.660754,138.951431
秦,237,36.6972131,112.6520519
松本,236,36.2308601,137.9646912
天神,236,33.5903225,130.3998391
長安,236,38.0356538,114.5317834
かゞ,234,14.5203896,75.7223521
小田原,233,35.2561819,139.1552509
蒙古,228,46.8250388,103.8499736
東北,225,38.003448,140.6684528
奥州,225,-24.7761086,134.755
高輪,224,32.102753,119.2688548
吉原,222,35.0945453,112.5810521
東海道,221,35.19803095,138.663579454397
英吉利,221,25.0160479,121.5326727
瀬戸,220,34.7344138,134.0418841
木下,219,35.8389123,140.1483223
千葉,218,35.6136057,140.112996
春日,214,35.7084896,139.7527409
島原,213,32.7903299,130.3708063
深川,213,43.7211231,142.0409293
英國,213,54.7023545,-3.2765753
八幡,213,33.8692808,130.7954844
松島,212,38.3799813,141.0659166
福山,209,35.1799528,129.0752365
福島,209,37.75454,140.4592144
ギリシア,206,34.8129919,135.528146
関,205,36.4827737,115.4446073
浅間,205,35.8511968,140.4409036
早稲田,204,35.70917975,139.719721288951
大島,203,28.31987425,129.396840814539
羅,203,-11.7688862,19.8969771801931
丹後,203,35.859198,139.891073
伊太利,201,34.6956707,135.5139055
呉,201,34.2446363,132.5574725
小石川,201,43.8252915,143.8927991
千里,201,34.7990234,136.5566424
仙台,200,38.2597492,140.8798618
祇園,199,35.0046897,135.778402961242
イタリア,199,42.6384261,12.674297
熊本,199,32.7903176,130.6889513
大津,198,35.0030494,135.8648951
巻,197,37.7568262,138.8896189
出雲,195,34.5277604,135.8899958
錦,194,37,112
徳市,192,34.6430782,132.9919347
隅田,190,39.9004064,117.7323127
和泉,190,40.6108201,140.494229626708
美濃,188,5.7275567,100.5094517
青山,187,40.6424752,109.8959597
上州,186,33.8842669,109.8524036
中,186,30.3020852,108.0352442
恐,183,9.148681,-4.610648
荒,182,29.4601866,117.6990395
浜松,182,34.7039437,137.7348528
南京,181,32.0615513,118.7915619
田川,178,36.5571635,139.8914474
一条,177,43.7226922,142.047419
越前,177,35.760577,139.6061707
甲府,175,35.6670907,138.568946
札幌,174,43.0686365,141.3509218
台湾,174,23.9739374,120.9820179
高野,173,40.5872281,140.358795887102
平田,173,36.1916821,137.962663974867
ソ,172,8.3676771,49.083416
ベルリン,169,52.5170365,13.3888599
静岡,168,34.9717115,138.3892221
堺,167,34.5819598,135.4688679
筑波,166,36.2099485,140.1011967
越中,166,28.7814341,100.4602188
諏訪,165,32.9234921,129.9603116
津軽,165,34.0641845,132.9936721
たま,164,42.0568108,-92.5433918
広田,164,37.5493904,139.933468
三河,161,39.9815552,117.0714873
尾張,161,35.4981134,133.6092887
河内,159,21.0294498,105.8544441
熊野,159,31.8298241,131.4371155
福岡,158,36.7081098,136.9317417
阿波,157,35.2367979,134.1125235
和蘭,157,52.2434979,5.6343227
石川,156,40.5558946,140.5311758
歐洲,155,51,10
西班牙,155,39.3260685,-4.8379791
牛込,155,35.439427,139.940755
麻布,154,35.6564018,139.7339705
栄,153,35.1699605,136.9086754
アフリカ,153,-28.8166236,24.991639
御嶽,152,35.8014926,139.1823453
大坂,152,34.7021912,135.4955866
長州,152,24.5164639,117.6424895
築地,152,35.6680848,139.7725918
富山,151,35.1799528,129.0752365
琵琶,151,29.1007232,105.0711469
中野,151,35.7058302,139.665633
黒部,151,36.8701841,137.4341449
麹町,149,35.6842967,139.73889712743
串,149,30.5000001,102.4999999
浜田,149,34.90315,132.089084
衛,149,39.8960768,114.7183017
御岳,147,35.8014926,139.1823453
丹波,146,35.4498407,135.3283002
下谷,145,34.8586327,133.9169153
肥後,144,34.6417428,135.5453581
倭,144,37.8811369,-95.7517113
熱海,144,35.1039424,139.0780356
弘前,144,40.5985978,140.4857687
岡村,143,34.499414,136.628304
丸山,143,35.6164701,138.3886534
沼南,143,35.9711107,139.6236848
備前,142,34.2603727,135.3117534
四国,142,33.560875,133.371885739462
相模,142,35.6074603,137.1757224
肥,142,45.7647019,8.2499183
飛鳥,141,34.4649307,135.7981738
愛宕,141,38.3973372,141.0651465
白山,141,42.185,127.291389
金沢,140,36.5780499,136.6480247
上海,140,31.2322758,121.4692071
天草,139,42.0552277,100.4505086
敷島,138,37.75454,140.4592144
佐伯,138,32.9724755,131.9018836
不弥,138,42.3501894,-71.1007099274242
伏見,137,26.5450001,117.842778
えど,137,6.6076575,5.9722713
佐治,137,35.3294736,134.1141995
高麗,136,35.8817112,139.3044363
ダージリン,136,27.0377554,88.263176
中津,135,33.5991951,131.1908891
勃,135,-17.0568696,-64.9912286
東山,135,47.6542802,130.0758472
博多,134,33.5900436,130.4203556
イラン,133,32.6475314,54.5643516
相川,133,34.7576432,135.5336121
スペイン,132,39.3260685,-4.8379791
波斯,132,51.4471101,7.27247994426301
岡,131,22.2793278,114.1628131
武蔵,131,35.764215,139.352119
渡,130,47.06699155,6.23562277282045
花崗,130,24.5352367,110.2632017
羽生,130,36.1704464,139.5339177
赤坂,129,35.6716786,139.7356224
伊賀,129,33.6207841,130.4735926
向島,128,33.4914988,129.777190682883
山内,128,34.7204755,133.8677275
日比谷,128,35.6762399,139.7601969
荒川,128,36.084732,139.437677
晉,127,37,112
宇治,126,34.8904111,135.8007079
赤城,125,40.9501011,115.93229384851
横田,125,25.534971,116.240334
北,124,47.8584335,-3.6056222
三重,124,25.0559777,121.4853768
陸奥,124,29.6928458,120.5710796
松岡,124,22.7752148,113.8246206
可愛,123,34.353221,132.332894
紐育,123,35.439427,139.940755
上総,123,34.6731874,135.51337845
西郷,122,32.9391,107.703362
埃及,121,26.2540493,29.2675469
鹿島,121,37.7025019,140.9702057
田原,120,27.8310574,113.0758021
摂津,120,34.7801513,135.5614065
京橋,119,34.6967313,135.5339898
獨逸,118,1.3176397,103.8926973
浪花,118,35.2227019,140.3794316
湯島,118,32.6028385,130.337885309926
下総,117,27.5404635,99.8268472
大川,117,31.1989633,107.5078704
奥羽,117,31.2103679,105.3437463
うど,117,37.6089291,125.975415626941
アルプス,117,35.619007,139.322314048468
須磨,117,34.642239,135.1125557
田村,116,35.356306,136.2818042
千島,115,32.802821,128.93432305
大名,115,36.2899958,115.241577850068
秋田,115,39.7168833,140.1296657
遠州,115,36.175198,106.242475
伊予,114,37.429733,138.619387
魏,114,36.3596001,114.9297848
境,113,39.906217,116.3912757
鬼王,113,34.56064085,117.737626866951
上田,112,36.3965369,138.2495261
出羽,112,33.322263,130.2750206
北京,112,39.906217,116.3912757
青森,112,40.8299247,140.7341384
奴国,112,50.6382816,3.072245
盛岡,111,39.7021331,141.1545397
四谷,111,24.14138,120.67104
筑前,111,37.158909,140.429089
室町,110,37.5633295,126.9747869
大連,110,38.9181714,121.6282945
長野,110,36.6442745,138.1883615
番町,109,34.3416808,134.043083601575
金田,109,33.6830926,130.7762209
エジプト,109,26.2540493,29.2675469
小樽,109,43.1975759,140.9933746
岡山,109,34.6667504,133.9182664
アジア,109,2.91583,31.026949
山城,108,35.8957258,114.1822808
ひは,108,50.803198,8.3798275
亞細亞,108,35.7451366,139.7683624
白樺,108,31.2922396,117.0991558
鹿児島,107,31.6021426,130.5640944
満洲,106,22.0213231,120.8388993
はら,106,39.7675529,64.4231326
舞臺,106,38.7349397,113.2576165
岡本,106,36.5982887,139.9444191
会津,105,35.4580532,139.5146835
野呂,105,26.122719,112.6788437
ヒマラヤ,105,35.7107912,139.6859027
有明,104,35.6345562,139.7932562
白馬,104,36.6957815,137.8636758
大村,104,23.9900522,120.5605718
佛蘭西,103,23.5756759,107.1911571
津,103,39.0856735,117.1951073
魯,103,49.8158683,6.1296751
嵯峨,102,34.720913,108.9037147
芝,102,34.2534388,131.5981114
広島,102,34.3980242,132.476095
備後,102,37.234479,120.1699528
後漢,101,36.2404226,120.265623
柳橋,101,35.4567555,139.462385492674
泰,101,14.8971921,100.83273
陳,101,26.5560846,95.0769830283841
三角,101,22.685,113.4275
川崎,100,35.5315726,139.6972186
首里,99,26.2191726,127.7255525
行田,99,36.1140168,139.4320115
浦賀,98,35.2515189,139.7150623
大森,98,35.5884735,139.7279334
妙義,98,35.6047863,139.566641
加茂,97,34.7527151,135.8698504
武尊,97,30.052656,106.2451791
三輪,97,34.5268994,135.8486442
伊集院,97,31.6300861,130.3964779
有馬,97,36.469138,138.982007
イスラエル,97,30.8124247,34.8594762
オランダ,97,52.2434979,5.6343227
備中,97,30.6598921,115.8782568
多摩,96,35.6765958,139.5170281
下田,96,40.5920089,141.4077142
武蔵野,96,35.7202101,139.3767428
播磨,96,35.0781729,136.674788
函館,96,41.7737872,140.7261884
志保,96,31.9273617,107.4989913
大宮,95,35.9063869,139.6243304
四条,94,35.0032249,135.7719619
八丈,94,24.6331894,106.1880238
鬼怒,94,36.153691,139.962444
下野,94,35.8007888,139.1162427
肥前,93,36.2353052,137.1886605
紀伊,93,34.2692946,135.246368
旅順,93,38.8430387,121.247672
淡路,93,34.7392524,135.5168901
西宮,93,10.7764772,106.701938
京極,93,34.9302877,135.757728424795
淡島,93,35.0328147,138.8883049
甲武信,93,36.7078176,117.4015785
隋,92,34.398696,115.035417
梓,92,47.4068,5.8146609
大菩薩,91,24.9846748,100.2274087
薩州,90,31.45895615,129.958874825074
室生,90,35.5895773,139.4975602
久米,90,26.2160901,127.6757543
牧,90,-20.2759451,57.5703566
西山,90,25.0411094,102.6649565
淀,90,34.9065468,135.7211367
巣鴨,89,35.7334119,139.7394273
亜細亜,89,35.7451366,139.7683624
三島,88,35.1262974,138.9115159
白河,88,32.7188587,109.9247843
豊後,88,36.5023265,113.3800181
柿の木,87,35.414337,136.247136
桑名,87,35.0671696,136.6837701
荻,87,44.7533712,5.3689136
柳原,86,33.953534,132.7735252
池田,86,42.9214578,143.4532084
晋,86,37,112
早稻田,86,35.70917975,139.719721288951
殷,85,43.9564347,81.3286964464003
中村,85,32.9843748,132.9440278
後立山,85,33.539472,113.379231
福井,85,36.0621497,136.2239821
東海,84,43.06005335,137.335301269924
小川町,83,36.0571535,139.2628499
立山,83,41.1452706,123.0206182
新宿,83,35.68907,139.7007543
筑紫,82,32.4821145,131.100901314453
アイルランド,82,52.865196,-7.9794599
小野,82,36.0468761,137.970643
妻木,82,36.0932046,140.1208734
清国,81,35.4841442,135.5041277
相州,81,32.0453155,131.247245799864
葛飾,81,32.1408809,120.4274177
韓,81,61.8793428,68.6418156
小山,81,36.3129364,139.8065054
和歌山,81,34.2322107,135.19158
久地,81,35.610598,139.5925023
能登,81,37.768113,139.029386
神辺,81,34.5371406,133.3787131
伊香保,80,36.4996088,138.9235424
関西,80,26.742295,113.615024
吾妻,80,34.2523574,132.5793116
大町,80,40.5962605,140.4824781
伊達,80,37.824098,140.4933532
山川,80,31.2113606,130.6297909
山谷,80,23.426,106.794
沼津,80,35.103198,138.8592482
オシャベリ,80,34.526174,135.488286
成田,79,35.7779163,140.3140452
蒲田,79,35.5600973,139.7214818
アラビア,79,22.3743008,49.4771176515971
むつ,78,41.2928444,141.1831247
鳥羽,78,34.4867812,136.8430635
小笠原,78,35.6094235,138.4706175
幸,78,38.4634006,111.1186276
山形,78,38.2484701,140.3278031
本多,78,35.7071175,139.4815393
天津,77,39.3032619,117.4163641
那覇,77,23.1391,107.685
葉山,77,35.0452326,135.801886
三宅,77,35.528513,134.863848
叡山,77,35.0706662,135.8783544
ケル,77,42.9233925,75.5107135
仙丈,77,34.9995292,135.7825667
毛利,77,34.172997,113.894341
平ヶ岳,77,37.0022277,139.1708614
房州,76,27.694709,115.092948
新潟,76,37.9122444,139.0613294
名高,76,34.152844,135.215186
